Hydrodyn. Diameter [nm], Avg. Int. [-], Std. Dev. Int. [-]
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.630000000000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360000000000000320e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.209999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.189999999999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999999999627e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.649999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.610000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.530000000000000249e+00,1.581111111111111189e-01,2.764611463336191233e-01
8.720000000000000639e+00,1.654444444444444606e+00,1.073549368642905177e+00
1.009999999999999964e+01,5.017777777777777892e+00,1.735663675676174300e+00
1.169999999999999929e+01,9.349999999999999645e+00,1.877480581346537614e+00
1.350000000000000000e+01,1.311888888888888971e+01,1.819880609297973795e+00
1.569999999999999929e+01,1.502222222222222392e+01,1.865939011613650722e+00
1.819999999999999929e+01,1.447777777777777963e+01,2.074596495052459133e+00
2.100000000000000000e+01,1.181777777777777771e+01,2.451751200798581110e+00
2.439999999999999858e+01,7.989999999999999325e+00,2.679606107040526819e+00
2.819999999999999929e+01,4.288888888888887863e+00,2.299393371422821630e+00
3.270000000000000284e+01,1.713333333333333153e+00,1.246835995630540150e+00
3.779999999999999716e+01,3.913333333333333108e-01,3.289974670621847452e-01
4.379999999999999716e+01,2.011111111111111086e-03,5.688281217545117230e-03
5.070000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.809999999999999432e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129999999999999716e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.420000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.640000000000000000e+02,9.500000000000001499e-03,2.687005768508881134e-02
1.900000000000000000e+02,5.866666666666667251e-02,1.659343913184431474e-01
2.200000000000000000e+02,1.494444444444444353e-01,3.837131773462252871e-01
2.550000000000000000e+02,3.131111111111110623e-01,6.230308436175254760e-01
2.950000000000000000e+02,5.666666666666666519e-01,8.885818914302596738e-01
3.420000000000000000e+02,8.666666666666666963e-01,1.236761002691214362e+00
3.960000000000000000e+02,1.144444444444444597e+00,1.624534881203513415e+00
4.590000000000000000e+02,1.348888888888889026e+00,1.959191695257366250e+00
5.310000000000000000e+02,1.445555555555555483e+00,2.152131300781267242e+00
6.150000000000000000e+02,1.425555555555555465e+00,2.159799945010911326e+00
7.120000000000000000e+02,1.302222222222222170e+00,1.986368980928533645e+00
8.250000000000000000e+02,1.106666666666666687e+00,1.676192775972448423e+00
9.550000000000000000e+02,8.766666666666667052e-01,1.297630318867605714e+00
1.110000000000000000e+03,6.488888888888888484e-01,9.340169454142615013e-01
1.280000000000000000e+03,4.552222222222221948e-01,6.703932142618950207e-01
1.480000000000000000e+03,3.164444444444444726e-01,5.596983535026525125e-01
1.720000000000000000e+03,2.387777777777777832e-01,5.545219718676174248e-01
1.990000000000000000e+03,2.106999999999999984e-01,5.694706391807122792e-01
2.300000000000000000e+03,2.059888888888888880e-01,5.671743734307318485e-01
2.670000000000000000e+03,2.228888888888888586e-01,5.348161562515237888e-01
3.090000000000000000e+03,2.657036666666667268e-01,4.849229092418252951e-01
3.580000000000000000e+03,3.371222222222221565e-01,4.229028093697645985e-01
4.150000000000000000e+03,4.264444444444444038e-01,3.835272295450078417e-01
4.800000000000000000e+03,5.076666666666667105e-01,3.833759396612039794e-01
5.560000000000000000e+03,5.546666666666666412e-01,4.073483357848252107e-01
6.440000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.460000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.630000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
